GateV,DrainV,VssV,BodyV,VddV,DrainI,GateI,VssI,BodyI,VddI,TempK,GNDV
0.12,0.06,0,-0.4,0.8,2.1000000000000003e-12,1.3400000000000003e-12,5.28e-12,-4.710000000000001e-12,-3.600000000000001e-13,8.5,0
0.14,0.06,0,-0.4,0.8,5.510000000000001e-12,-5.29e-12,2.51e-12,-4.100000000000001e-12,2.8e-13,8.5,0
0.16,0.06,0,-0.4,0.8,2.6500000000000002e-12,-6.56e-12,4.1e-13,-3.65e-12,8.300000000000001e-13,8.5,0
0.18,0.06,0,-0.4,0.8,5.23e-12,-1.482e-11,-7.980000000000001e-12,-3.840000000000001e-12,1.4e-13,8.5,0
0.2,0.06,0,-0.4,0.8,1.375e-11,-7.580000000000001e-12,-1.786e-11,-4.21e-12,2.6e-13,8.5,0
0.22,0.06,0,-0.4,0.8,5.923e-11,-6.800000000000001e-12,-6.660000000000001e-11,-5.13e-12,-3.000000000000001e-13,8.5,0
0.24,0.06,0,-0.4,0.8,3.2791e-10,4.710000000000001e-12,-3.2198e-10,-5.74e-12,-5.7e-13,8.5,0
0.26,0.06,0,-0.4,0.8,1.6718e-09,5.74e-12,-1.6751e-09,-4.43e-12,2.2000000000000002e-13,8.5,0
0.28,0.06,0,-0.4,0.8,8.9703e-09,-3.1400000000000004e-12,-8.8933e-09,-5.150000000000001e-12,3.0000000000000005e-14,8.5,0
0.3,0.06,0,-0.4,0.8,4.20172e-08,1.113e-11,-4.2238799999999994e-08,-3.43e-12,6.6e-13,8.5,0
0.32,0.06,0,-0.4,0.8,1.785e-07,2.6100000000000004e-12,-1.7632e-07,-4.13e-12,3.900000000000001e-13,8.5,0
0.34,0.06,0,-0.4,0.8,5.7362e-07,-1.26e-11,-5.8146e-07,-4.090000000000001e-12,1.2900000000000002e-12,8.5,0
0.36,0.06,0,-0.4,0.8,1.6604000000000002e-06,9.73e-12,-1.6886000000000002e-06,-4.26e-12,7.700000000000001e-13,8.5,0
0.38,0.06,0,-0.4,0.8,4.5375e-06,6.46e-12,-4.527700000000001e-06,-4.36e-12,-4.3000000000000004e-13,8.5,0
0.4,0.06,0,-0.4,0.8,1.156e-05,2.9800000000000002e-12,-1.155e-05,-4.340000000000001e-12,-9e-14,8.5,0
0.42,0.06,0,-0.4,0.8,2.6954e-05,8.14e-12,-2.7058e-05,-4.26e-12,-1.5000000000000004e-13,8.5,0
0.44,0.06,0,-0.4,0.8,5.7818e-05,1.7980000000000002e-11,-5.779e-05,-5.08e-12,-1.0100000000000001e-12,8.5,0
0.46,0.06,0,-0.4,0.8,0.000113278,2.07e-11,-0.000113034,-3.92e-12,1.8000000000000004e-13,8.5,0
0.48,0.06,0,-0.4,0.8,0.0002033,-1.1000000000000001e-13,-0.00020284,-3.8900000000000006e-12,3.1000000000000004e-13,8.5,0
0.5,0.06,0,-0.4,0.8,0.00033688,3.325e-11,-0.00033748,-4.13e-12,-1.1900000000000002e-12,8.5,0
0.52,0.06,0,-0.4,0.8,0.0005193,4.466e-11,-0.00051806,-5.050000000000001e-12,-8.600000000000001e-13,8.5,0
0.54,0.06,0,-0.4,0.8,0.00074338,2.8200000000000003e-11,-0.00074178,-3.85e-12,1.1000000000000002e-12,8.5,0
0.56,0.06,0,-0.4,0.8,0.00100474,4.147e-11,-0.00100512,-4.53e-12,4.2000000000000003e-13,8.5,0
0.58,0.06,0,-0.4,0.8,0.0012926,5.415e-11,-0.0012926,-4.12e-12,7.3e-13,8.5,0
0.6,0.06,0,-0.4,0.8,0.0015912,5.6290000000000007e-11,-0.0015968,-3.3200000000000004e-12,1.1000000000000001e-13,8.5,0
0.62,0.06,0,-0.4,0.8,0.0018966,8.987000000000001e-11,-0.0018952,-5.150000000000001e-12,-2.75e-12,8.5,0
0.64,0.06,0,-0.4,0.8,0.0021956,1.1301e-10,-0.0021798,-4.290000000000001e-12,-1.91e-12,8.5,0
0.66,0.06,0,-0.4,0.8,0.0024778,1.2224e-10,-0.0024578,-4.03e-12,2.04e-12,8.5,0
0.68,0.06,0,-0.4,0.8,0.0027186,1.3611e-10,-0.0027378,-4.440000000000001e-12,3.5700000000000007e-12,8.5,0
0.7,0.06,0,-0.4,0.8,0.0029592,1.6455000000000002e-10,-0.0029858,-3.25e-12,7e-14,8.5,0
0.72,0.06,0,-0.4,0.8,0.0032016,2.2025e-10,-0.0031914,-4.550000000000001e-12,-2.2200000000000002e-12,8.5,0
0.74,0.06,0,-0.4,0.8,0.0034096,2.5508e-10,-0.0033978,-3.5500000000000004e-12,-1.1600000000000001e-12,8.5,0
0.76,0.06,0,-0.4,0.8,0.0035916,2.9641e-10,-0.003584,-5.010000000000001e-12,4.2000000000000003e-13,8.5,0
0.78,0.06,0,-0.4,0.8,0.0037576,3.5712e-10,-0.003741,-4.47e-12,-2.6e-13,8.5,0
0.8,0.06,0,-0.4,0.8,0.0039118,4.24e-10,-0.003898,-4.37e-12,8.2e-13,8.5,0
0.0,0.08,0,-0.4,0.8,5.19e-12,-6.330000000000001e-12,1.88e-12,-5.710000000000001e-12,2.5e-13,8.5,0
0.02,0.08,0,-0.4,0.8,3.5700000000000007e-12,-9.27e-12,1.3800000000000002e-12,-5.79e-12,1e-13,8.5,0
0.04,0.08,0,-0.4,0.8,5.710000000000001e-12,-5.420000000000001e-12,3.4100000000000002e-12,-6.0600000000000004e-12,4.600000000000002e-13,8.5,0
0.06,0.08,0,-0.4,0.8,2.67e-12,-1.284e-11,2.01e-12,-5.3000000000000004e-12,8.100000000000001e-13,8.5,0
0.08,0.08,0,-0.4,0.8,5.63e-12,-1.179e-11,-2.19e-12,-5.470000000000001e-12,9.5e-13,8.5,0
0.1,0.08,0,-0.4,0.8,3e-12,-1.7800000000000003e-11,-4.150000000000001e-12,-5.28e-12,1.09e-12,8.5,0
0.12,0.08,0,-0.4,0.8,6.830000000000001e-12,-8.080000000000003e-12,-8.86e-12,-6.270000000000001e-12,3.5e-13,8.5,0
0.14,0.08,0,-0.4,0.8,3.53e-12,-6.120000000000001e-12,-6.92e-12,-6.340000000000001e-12,-9e-14,8.5,0
0.16,0.08,0,-0.4,0.8,4.860000000000001e-12,-8.7e-13,-7.590000000000001e-12,-5.8700000000000014e-12,-8.100000000000001e-13,8.5,0
0.18,0.08,0,-0.4,0.8,4.750000000000001e-12,4.03e-12,1.3400000000000003e-12,-4.950000000000001e-12,-5.300000000000002e-13,8.5,0
0.2,0.08,0,-0.4,0.8,1.8310000000000003e-11,1.23e-12,-1.143e-11,-4.53e-12,-3.3e-13,8.5,0
0.22,0.08,0,-0.4,0.8,7.544e-11,2.62e-12,-7.036e-11,-5.320000000000001e-12,5e-14,8.5,0
0.24,0.08,0,-0.4,0.8,4.1633000000000005e-10,-4.4000000000000004e-13,-4.1822e-10,-5.370000000000001e-12,-6.200000000000001e-13,8.5,0
0.26,0.08,0,-0.4,0.8,2.3248e-09,1.008e-11,-2.3194e-09,-4.93e-12,8.600000000000001e-13,8.5,0
0.28,0.08,0,-0.4,0.8,1.19604e-08,1.954e-11,-1.20548e-08,-5.29e-12,8.9e-13,8.5,0
0.3,0.08,0,-0.4,0.8,5.5865199999999995e-08,2.7800000000000007e-12,-5.494559999999999e-08,-4.67e-12,-4.3000000000000004e-13,8.5,0
0.32,0.08,0,-0.4,0.8,2.225e-07,-1.112e-11,-2.3004e-07,-4.810000000000001e-12,3.1000000000000004e-13,8.5,0
0.34,0.08,0,-0.4,0.8,7.297e-07,3.63e-12,-7.2112e-07,-5.4000000000000004e-12,-1.03e-12,8.5,0
0.36,0.08,0,-0.4,0.8,2.1073e-06,-3.87e-12,-2.1162e-06,-5.410000000000001e-12,2.300000000000001e-13,8.5,0
0.38,0.08,0,-0.4,0.8,5.612900000000001e-06,-8.190000000000001e-12,-5.6258e-06,-4.5900000000000004e-12,9.600000000000002e-13,8.5,0
0.4,0.08,0,-0.4,0.8,1.4136e-05,-9.200000000000001e-13,-1.4196e-05,-4.46e-12,-9e-14,8.5,0
